Unnamed: 0,budget,genres,id,keywords,original_language,original_title,overview,popularity,production_companies,release_date,revenue,runtime,spoken_languages,tagline,vote_average,vote_count,cast,crew,director,important_feature,weighted_avg
157,140000000,"['adventure', 'drama', 'action']",147441,"['moses', 'bible', 'ancient egypt']",en,Exodus: Gods and Kings,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",101.599427,"[{""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Chernin Entertainment"", ""id"": 7076}, {""name"": ""Babieka"", ""id"": 20656}, {""name"": ""Volcano Films"", ""id"": 52184}]",2014-12-03,268031828,150.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Once brothers, now enemies.",5.6,1921,"['christian bale', 'joel edgerton', 'john turturro']","['dariusz wolski', 'alberto iglesias', 'ridley scott']",Ridley Scott,moses bible ancient egypt christian bale joel edgerton john turturro dariusz wolski alberto iglesias ridley scott Ridley Scott adventure drama action,3.3378566985560694
158,150000000,"['science fiction', 'action', 'adventure']",13475,"['spacecraft', 'teleportation', 'space mission']",en,Star Trek,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",73.616808,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Bad Robot"", ""id"": 11461}, {""name"": ""MavroCine Pictures GmbH & Co. KG"", ""id"": 23419}]",2009-05-06,385680446,127.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The future begins.,7.4,4518,"['chris pine', 'zachary quinto', 'leonard nimoy']","['michael kaplan', 'gene roddenberry', 'april webster']",J.J. Abrams,spacecraft teleportation space mission chris pine zachary quinto leonard nimoy michael kaplan gene roddenberry april webster J.J. Abrams science fiction action adventure,5.533546912972769
159,139000000,"['fantasy', 'action']",557,"['loss of lover', 'spider', 'thanksgiving']",en,Spider-Man,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers.",82.502566,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",2002-05-01,821708551,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",With great power comes great responsibility.,6.8,5265,"['tobey maguire', 'willem dafoe', 'kirsten dunst']","['don burgess', 'david koepp', 'danny elfman']",Sam Raimi,loss of lover spider thanksgiving tobey maguire willem dafoe kirsten dunst don burgess david koepp danny elfman Sam Raimi fantasy action,5.285910021415929
160,145000000,"['fantasy', 'action', 'adventure']",82702,"['father son relationship', 'wife husband relationship', 'sacrifice']",en,How to Train Your Dragon 2,"The thrilling second chapter of the epic How To Train Your Dragon trilogy brings back the fantastical world of Hiccup and Toothless five years later. While Astrid, Snotlout and the rest of the gang are challenging each other to dragon races (the island's new favorite contact sport), the now inseparable pair journey through the skies, charting unmapped territories and exploring new worlds. When one of their adventures leads to the discovery of a secret ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",100.21391,"[{""name"": ""DreamWorks Animation"", ""id"": 521}, {""name"": ""Mad Hatter Entertainment"", ""id"": 20154}]",2014-06-12,609123048,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The training is over.,7.6,3106,"['jay baruchel', 'gerard butler', 'kristen wiig']","['john powell', 'leslee feldman', 'bonnie arnold']",Dean DeBlois,father son relationship wife husband relationship sacrifice jay baruchel gerard butler kristen wiig john powell leslee feldman bonnie arnold Dean DeBlois fantasy action adventure,5.1280567654343265
163,130000000,"['action', 'mystery', 'science fiction']",13183,"['dc comics', 'secret identity', 'mass murder']",en,Watchmen,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.",64.798873,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Lawrence Gordon Productions"", ""id"": 840}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]",2009-03-05,185258983,163.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Justice is coming to all of us.  No matter what we do.,7.0,2811,"['malin åkerman', 'billy crudup', 'carla gugino']","['lawrence gordon', 'alex mcdowell', 'lloyd levin']",Zack Snyder,dc comics secret identity mass murder malin åkerman billy crudup carla gugino lawrence gordon alex mcdowell lloyd levin Zack Snyder action mystery science fiction,4.611015575853624
166,130000000,"['adventure', 'action', 'science fiction']",72559,"['terror', 'assassin', 'secret']",en,G.I. Joe: Retaliation,"Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",59.325589,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Hasbro"", ""id"": 2598}, {""name"": ""Skydance Productions"", ""id"": 6277}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Saints LA"", ""id"": 19719}]",2013-03-26,371876278,110.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",,5.4,3025,"['dwayne johnson', 'd.j. cotrona', 'adrianne palicki']","['ronna kress', 'andrew menzies', 'roger birnbaum']",Jon M. Chu,terror assassin secret dwayne johnson d.j. cotrona adrianne palicki ronna kress andrew menzies roger birnbaum Jon M. Chu adventure action science fiction,3.7251369467539455
169,140000000,"['action', 'adventure', 'science fiction']",1771,"['new york', 'usa', 'world war ii']",en,Captain America: The First Avenger,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",74.506246,"[{""name"": ""Marvel Studios"", ""id"": 420}]",2011-07-22,370569774,124.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""no"", ""name"": ""Norsk""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",When patriots become heroes,6.6,7047,"['chris evans', 'hugo weaving', 'tommy lee jones']","['alan silvestri', 'rick heinrichs', 'john dexter']",Joe Johnston,new york usa world war ii chris evans hugo weaving tommy lee jones alan silvestri rick heinrichs john dexter Joe Johnston action adventure science fiction,5.430572176442286
172,120000000,"['adventure', 'fantasy', 'drama']",50620,"['vampire', 'romance', 'villainess']",en,The Twilight Saga: Breaking Dawn - Part 2,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",99.687084,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Temple Hill Entertainment"", ""id"": 12292}]",2012-11-13,829000000,115.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The epic finale that will live forever,6.1,2553,"['kristen stewart', 'robert pattinson', 'taylor lautner']","['debra zane', 'carter burwell', 'guillermo navarro']",Bill Condon,vampire romance villainess kristen stewart robert pattinson taylor lautner debra zane carter burwell guillermo navarro Bill Condon adventure fantasy drama,3.9508900816913908
174,150000000,"['science fiction', 'action', 'adventure']",1724,"['new york', 'rio de janeiro', 'marvel comic']",en,The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",62.898336,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Valhalla Motion Pictures"", ""id"": 11533}, {""name"": ""MVL Incredible Productions"", ""id"": 25121}]",2008-06-12,163712074,114.0,"[{""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",You'll like him when he's angry.,6.1,3021,"['edward norton', 'liv tyler', 'tim roth']","['gale anne hurd', 'rick shaine', 'craig armstrong']",Louis Leterrier,new york rio de janeiro marvel comic edward norton liv tyler tim roth gale anne hurd rick shaine craig armstrong Louis Leterrier science fiction action adventure,4.156891933602014
176,135000000,"['western', 'drama', 'adventure']",281957,"['father son relationship', 'rape', 'based on novel']",en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",100.635882,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""CatchPlay"", ""id"": 8870}, {""name"": ""Anonymous Content"", ""id"": 10039}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Hong Kong Alpha Motion Pictures Co."", ""id"": 13796}, {""name"": ""RatPac Entertainment"", ""id"": 28732}, {""name"": ""M Productions"", ""id"": 52660}, {""name"": ""Monarchy Enterprises S.a.r.l."", ""id"": 77845}]",2015-12-25,532950503,156.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]","(n. One who has returned, as if from the dead.)",7.3,6396,"['leonardo dicaprio', 'tom hardy', 'will poulter']","['steve golin', 'alejandro gonzález iñárritu', 'alejandro gonzález iñárritu']",Alejandro González Iñárritu,father son relationship rape based on novel leonardo dicaprio tom hardy will poulter steve golin alejandro gonzález iñárritu alejandro gonzález iñárritu Alejandro González Iñárritu western drama adventure,5.880580954854853
178,135000000,"['animation', 'comedy', 'family']",44896,"['sheriff', 'nevada', 'pet']",en,Rango,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",29.91353,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""GK Films"", ""id"": 3281}, {""name"": ""Blind Wink"", ""id"": 10262}, {""name"": ""Paramount Animation"", ""id"": 24955}]",2011-03-02,245724603,107.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Heroes come in all different colors.,6.6,2051,"['johnny depp', 'isla fisher', 'ned beatty']","['gore verbinski', 'gore verbinski', 'gore verbinski']",Gore Verbinski,sheriff nevada pet johnny depp isla fisher ned beatty gore verbinski gore verbinski gore verbinski Gore Verbinski animation comedy family,3.9372531378740607
180,70000000,"['action', 'drama', 'mystery']",2503,"['paris', 'corruption', 'madrid']",en,The Bourne Ultimatum,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",45.381501,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""The Kennedy/Marshall Company"", ""id"": 862}, {""name"": ""Ludlum Entertainment"", ""id"": 11347}, {""name"": ""Motion Picture BETA Produktionsgesellschaft"", ""id"": 11348}, {""name"": ""Bourne Again"", ""id"": 11349}]",2007-08-03,442824138,115.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Remember everything. Forgive nothing.,7.3,2888,"['matt damon', 'julia stiles', 'david strathairn']","['avy kaufman', 'frank marshall', 'john hubbard']",Paul Greengrass,paris corruption madrid matt damon julia stiles david strathairn avy kaufman frank marshall john hubbard Paul Greengrass action drama mystery,4.832170206050969
181,130000000,"['adventure', 'animation', 'family']",9502,"['china', 'martial arts', 'kung fu']",en,Kung Fu Panda,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",84.689648,"[{""name"": ""DreamWorks Animation"", ""id"": 521}]",2008-06-04,631744560,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Prepare for awesomeness.,6.9,3145,"['jack black', 'dustin hoffman', 'angelina jolie']","['hans zimmer', 'john powell', 'mark osborne']",Mark Osborne,china martial arts kung fu jack black dustin hoffman angelina jolie hans zimmer john powell mark osborne Mark Osborne adventure animation family,4.707576137867225
182,130000000,"['science fiction', 'action', 'adventure']",102899,"['marvel comic', 'superhero', 'based on comic book']",en,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",120.09361,"[{""name"": ""Marvel Studios"", ""id"": 420}]",2015-07-14,519311965,117.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Heroes don't get any bigger.,7.0,5880,"['paul rudd', 'michael douglas', 'evangeline lilly']","['david lazan', 'jackie burch', 'david farmer']",Peyton Reed,marvel comic superhero based on comic book paul rudd michael douglas evangeline lilly david lazan jackie burch david farmer Peyton Reed science fiction action adventure,5.5581043708655375
183,130000000,"['adventure', 'action', 'science fiction']",101299,"['competition', 'based on novel', 'mentor']",en,The Hunger Games: Catching Fire,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",76.310119,"[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Color Force"", ""id"": 5420}]",2013-11-15,847423452,146.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Every revolution begins with a spark.,7.4,6495,"['jennifer lawrence', 'josh hutcherson', 'liam hemsworth']","['debra zane', 'james newton howard', 'philip messina']",Francis Lawrence,competition based on novel mentor jennifer lawrence josh hutcherson liam hemsworth debra zane james newton howard philip messina Francis Lawrence adventure action science fiction,5.9751219635989745
185,132000000,"['adventure', 'thriller', 'science fiction']",74,"['post traumatic stress  disorder', 'new jersey', 'airplane']",en,War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",48.572726,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Cruise/Wagner Productions"", ""id"": 44}, {""name"": ""Amblin Entertainment"", ""id"": 56}]",2005-06-28,591739379,116.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",They're already here.,6.2,2322,"['tom cruise', 'dakota fanning', 'miranda otto']","['john williams', 'debra zane', 'steven spielberg']",Steven Spielberg,post traumatic stress  disorder new jersey airplane tom cruise dakota fanning miranda otto john williams debra zane steven spielberg Steven Spielberg adventure thriller science fiction,3.887725098393287
188,110000000,"['action', 'mystery', 'thriller']",27576,"['assassination', 'spy', 'cia']",en,Salt,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",48.829437,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Wintergreen Productions"", ""id"": 11845}]",2010-07-21,293329073,100.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]",Who is Salt?,6.2,2093,"['angelina jolie', 'liev schreiber', 'chiwetel ejiofor']","['avy kaufman', 'james newton howard', 'stuart baird']",Phillip Noyce,assassination spy cia angelina jolie liev schreiber chiwetel ejiofor avy kaufman james newton howard stuart baird Phillip Noyce action mystery thriller,3.7538208518658904
189,125000000,"['drama', 'adventure']",86834,"['bible', 'god', 'noah']",en,Noah,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,46.115758,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Protozoa Pictures"", ""id"": 7503}, {""name"": ""Disruption Entertainment"", ""id"": 10256}]",2014-03-20,362637473,139.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The end of the world is just the beginning.,5.6,2350,"['russell crowe', 'jennifer connelly', 'emma watson']","['suzanne smith', 'arnon milchan', 'mary vernieu']",Darren Aronofsky,bible god noah russell crowe jennifer connelly emma watson suzanne smith arnon milchan mary vernieu Darren Aronofsky drama adventure,3.568293008647594
190,130000000,"['adventure', 'animation', 'mystery']",17578,"['riddle', 'captain', 'treasure']",en,The Adventures of Tintin,"Intrepid young reporter, Tintin and his loyal dog, Snowy are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery, Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy, with the help of salty, cantankerous Captain Haddock and bumbling detectives, Thompson &amp; Thomson, travel half the world, one step ahead of their enemies as Tintin endeavors to find The Unicorn, a sunken ship that may hold a vast fortune, but also an ancient curse.",89.938296,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Kennedy/Marshall Company, The"", ""id"": 7383}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}]",2011-10-25,371940071,107.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","This year, discover how far adventure will take you.",6.7,2061,"['jamie bell', 'andy serkis', 'daniel craig']","['john williams', 'jina jay', 'steven spielberg']",Steven Spielberg,riddle captain treasure jamie bell andy serkis daniel craig john williams jina jay steven spielberg Steven Spielberg adventure animation mystery,3.996586063792188
191,130000000,"['adventure', 'fantasy', 'family']",673,"['flying', 'traitor', 'magic']",en,Harry Potter and the Prisoner of Azkaban,"Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black – and turns to sympathetic Professor Lupin for help.",79.679601,"[{""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""Heyday films"", ""id"": 437}, {""name"": ""Warner Bros."", ""id"": 6194}]",2004-05-31,789804554,141.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Something wicked this way comes.,7.7,5877,"['daniel radcliffe', 'rupert grint', 'emma watson']","['john williams', 'jina jay', 'richard beggs']",Alfonso Cuarón,flying traitor magic daniel radcliffe rupert grint emma watson john williams jina jay richard beggs Alfonso Cuarón adventure fantasy family,6.089166904866442
193,130000000,"['science fiction', 'action', 'adventure']",82700,['dystopia'],en,After Earth,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",42.840582,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Blinding Edge Pictures"", ""id"": 12236}, {""name"": ""Overbrook Entertainment"", ""id"": 12485}]",2013-05-30,243843127,100.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Danger is real, fear is a choice",5.0,2532,"['jaden smith', 'will smith', 'sophie okonedo']","['peter suschitzky', 'james newton howard', 'steven rosenblum']",M. Night Shyamalan,dystopia jaden smith will smith sophie okonedo peter suschitzky james newton howard steven rosenblum M. Night Shyamalan science fiction action adventure,3.306666630996148
196,130000000,"['animation', 'action', 'comedy']",38055,"['saving the world', 'date', 'prison']",en,Megamind,"Bumbling supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",68.757242,"[{""name"": ""DreamWorks Animation"", ""id"": 521}]",2010-10-28,321887208,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",His brain is off the chain.,6.7,1918,"['will ferrell', 'brad pitt', 'tina fey']","['hans zimmer', 'ben stiller', 'tom mcgrath']",Tom McGrath,saving the world date prison will ferrell brad pitt tina fey hans zimmer ben stiller tom mcgrath Tom McGrath animation action comedy,3.8942978188650255
197,125000000,"['adventure', 'fantasy', 'family']",671,"['witch', 'christmas party', 'magic']",en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",109.984351,"[{""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]",2001-11-16,976475550,152.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Let the Magic Begin.,7.5,7006,"['daniel radcliffe', 'rupert grint', 'emma watson']","['john williams', 'michael lamont', 'susie figgis']",Chris Columbus,witch christmas party magic daniel radcliffe rupert grint emma watson john williams michael lamont susie figgis Chris Columbus adventure fantasy family,6.136241646550113
199,140000000,"['adventure', 'fantasy', 'action']",22,"['exotic island', 'blacksmith', 'east india trading company']",en,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",271.972889,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}]",2003-07-09,655011224,143.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Prepare to be blown out of the water.,7.5,6985,"['johnny depp', 'geoffrey rush', 'orlando bloom']","['arthur schmidt', 'dariusz wolski', 'klaus badelt']",Gore Verbinski,exotic island blacksmith east india trading company johnny depp geoffrey rush orlando bloom arthur schmidt dariusz wolski klaus badelt Gore Verbinski adventure fantasy action,6.13300429288959
200,125000000,"['science fiction', 'adventure', 'thriller']",131631,"['resistance', 'post-apocalyptic', 'dystopia']",en,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,206.227151,"[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Color Force"", ""id"": 5420}]",2014-11-18,752100229,123.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Fire burns brighter in the darkness,6.6,5584,"['jennifer lawrence', 'josh hutcherson', 'liam hemsworth']","['debra zane', 'james newton howard', 'philip seymour hoffman']",Francis Lawrence,resistance post-apocalyptic dystopia jennifer lawrence josh hutcherson liam hemsworth debra zane james newton howard philip seymour hoffman Francis Lawrence science fiction adventure thriller,5.200782923230246
201,125000000,"['thriller', 'mystery']",591,"['paris', 'holy grail', 'christianity']",en,The Da Vinci Code,"When the curator of the Louvre is found murdered in the famed museum's hallowed halls, Harvard professor, Robert Langdon and cryptographer, Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci.",45.313197,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Skylark Productions"", ""id"": 8253}, {""name"": ""Government of Malta"", ""id"": 19927}]",2006-05-17,767820459,149.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Seek the truth.,6.5,2704,"['tom hanks', 'audrey tautou', 'ian mckellen']","['hans zimmer', 'brian grazer', 'john hubbard']",Ron Howard,paris holy grail christianity tom hanks audrey tautou ian mckellen hans zimmer brian grazer john hubbard Ron Howard thriller mystery,4.25888403570738
203,110000000,"['adventure', 'action', 'science fiction']",36658,"['mutant', 'marvel comic', 'superhero']",en,X2,"Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm, Wolverine and Jean Grey must join their usual nemeses –  Magneto and Mystique – to unhinge Stryker's scheme to exterminate all mutants.",2.871739,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""XM2 Productions"", ""id"": 79026}, {""name"": ""XF2 Canada Productions"", ""id"": 79027}]",2003-04-24,407711549,133.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",The time has come for those who are different to stand united.,6.8,3506,"['patrick stewart', 'hugh jackman', 'ian mckellen']","['ralph winter', 'roger mussenden', 'lauren shuler donner']",Bryan Singer,mutant marvel comic superhero patrick stewart hugh jackman ian mckellen ralph winter roger mussenden lauren shuler donner Bryan Singer adventure action science fiction,4.789713674519968
204,125000000,"['action', 'thriller', 'crime']",51497,"['brazil', 'fbi', 'freedom']",en,Fast Five,"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom.",7.255718,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""One Race Productions"", ""id"": 1225}]",2011-04-20,626137675,130.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Get the Fifth Gear.,7.1,2438,"['vin diesel', 'paul walker', 'jordana brewster']","['debra zane', 'sanja milkovic hays', 'beat frutiger']",Justin Lin,brazil fbi freedom vin diesel paul walker jordana brewster debra zane sanja milkovic hays beat frutiger Justin Lin action thriller crime,4.460461733408958
